"","genes","logFC","logCPM","F","PValue","FDR"
"CEPT1","CEPT1",1.20315890517876,4.77254894975888,1.6820850236334,0.194650298206247,0.94226151814353
"ERGIC1","ERGIC1",-2.90538759640553,2.75976207878445,1.68181692113223,0.194685867215503,0.94226151814353
"C1H1orf54","C1H1orf54",3.16084034568231,2.53133817435009,1.68089796497836,0.194807842328147,0.94226151814353
"LOC105601884","LOC105601884",-4.35804384458871,0.389115267613242,1.68088061711496,0.19481014580868,0.94226151814353
"ACKR3","ACKR3",3.06765342976318,2.64154954413849,1.68074177279304,0.194828582955924,0.94226151814353
"CC2D1A","CC2D1A",-2.93684649309312,2.73446692870368,1.67971719146989,0.19496470032069,0.94226151814353
"ENHO","ENHO",-4.35810787414096,0.381438119964452,1.67886307478372,0.195078256221651,0.94226151814353
"USP31","USP31",1.42812712427139,4.40680709382879,1.67881464631723,0.195084697166208,0.94226151814353
"BRCA1","BRCA1",3.80556974571193,1.94332702872084,1.6766096840203,0.195378219073166,0.94226151814353
"PIGK","PIGK",1.01808773935333,5.15511221983026,1.67626580144768,0.195424042883338,0.94226151814353
"SH3BGRL2","SH3BGRL2",3.99127744200864,1.17215331386865,1.67590639999516,0.195471948095567,0.94226151814353
"SNRPE","SNRPE",-1.27271192350608,4.65194516982469,1.67525946354535,0.195558213969274,0.94226151814353
"AFG3L2","AFG3L2",-0.636460557529795,6.59516610380366,1.67467473676259,0.195636222830583,0.94226151814353
"FJX1","FJX1",-4.32540143491434,0.448190227755085,1.67451420268989,0.195657646181437,0.94226151814353
"LOC101112585","LOC101112585",4.15630538696138,1.01141272914879,1.67375574279262,0.19575890017876,0.94226151814353
"LOC101120392","LOC101120392",-4.54988190175493,-0.0109297962702188,1.67356489859476,0.195784387438839,0.94226151814353
"PRDM10","PRDM10",-3.56983151543195,1.60941094481598,1.67261575833804,0.195911202937442,0.94226151814353
"NUP62","NUP62",4.2153709233405,0.86162185830056,1.67167148291468,0.196037463902933,0.94226151814353
"RPP30","RPP30",1.27535083816952,4.64430039468498,1.67158031201898,0.196049659590564,0.94226151814353
